City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Ixtapa,MX,2022-01-27 23:48:45,20.7,-105.2,74.23,84,75,5.99
137,Kutum,SD,2022-01-27 23:48:45,14.2,24.6667,48.96,24,59,7.74
138,Malanville,BJ,2022-01-27 23:48:46,11.8685,3.3899,68.29,21,2,8.88
139,Sistranda,NO,2022-01-27 23:49:46,63.7256,8.834,37.36,51,100,31.74
140,Inuvik,CA,2022-01-27 23:49:46,68.3499,-133.7218,-9.36,80,75,2.3
141,Luderitz,NA,2022-01-27 23:49:47,-26.6481,15.1594,67.59,74,0,22.17
142,Cabo San Lucas,MX,2022-01-27 23:48:29,22.8909,-109.9124,76.51,51,20,1.99
143,Kruisfontein,ZA,2022-01-27 23:46:03,-34.0033,24.7314,64.89,83,100,7.23
144,Sao Joao Da Barra,BR,2022-01-27 23:49:47,-21.6403,-41.0511,76.39,88,4,17.09
145,Huarmey,PE,2022-01-27 23:49:47,-10.0681,-78.1522,71.76,83,99,8.46
146,Milkovo,RU,2022-01-27 23:49:48,54.7167,158.6167,15.03,94,100,0.78
147,Muisne,EC,2022-01-27 23:49:48,0.6,-80.0333,74.5,89,60,1.99
148,Sakakah,SA,2022-01-27 23:49:48,29.9697,40.2064,38.77,75,0,3.85
149,Maldonado,UY,2022-01-27 23:49:49,-34.6667,-54.9167,64.22,68,21,5.08
150,Pacific Grove,US,2022-01-27 23:49:49,36.6177,-121.9166,70.57,69,0,5.01
151,Dhidhdhoo,MV,2022-01-27 23:49:50,6.8833,73.1,78.98,65,30,8.41
152,Dalvik,IS,2022-01-27 23:49:50,65.9702,-18.5286,35.53,86,100,11.34
153,Salalah,OM,2022-01-27 23:49:50,17.0151,54.0924,71.69,68,40,6.91
154,Dakar,SN,2022-01-27 23:49:51,14.6937,-17.4441,69.93,73,0,18.41
155,Guerrero Negro,MX,2022-01-27 23:49:51,27.9769,-114.0611,69.21,31,57,10.11
156,Harindanga,IN,2022-01-27 23:49:51,22.0383,88.3214,55.38,53,13,7.36
157,Airai,TL,2022-01-27 23:49:52,-8.9266,125.4092,67.86,71,99,3.29
158,Yulara,AU,2022-01-27 23:49:52,-25.2406,130.9889,78.64,83,100,8.05
159,Mar Del Plata,AR,2022-01-27 23:48:53,-38.0023,-57.5575,61.88,72,20,7.0
160,Lavrentiya,RU,2022-01-27 23:49:45,65.5833,-171.0,-10.93,88,44,3.11
161,Caravelas,BR,2022-01-27 23:49:52,-17.7125,-39.2481,76.08,87,2,5.41
162,Kemin,KG,2022-01-27 23:49:53,42.7846,75.6892,20.14,49,15,9.84
163,Mabaruma,GY,2022-01-27 23:49:53,8.2,-59.7833,71.13,81,63,3.74
164,Lazi,UA,2022-01-27 23:49:53,48.0667,24.2333,26.8,97,100,4.07
165,Arraial Do Cabo,BR,2022-01-27 23:49:54,-22.9661,-42.0278,80.56,73,0,8.05
166,Alice Springs,AU,2022-01-27 23:49:54,-23.7,133.8833,83.75,58,85,10.36
167,Broome,US,2022-01-27 23:49:54,42.2506,-75.833,26.71,56,100,3.0
168,Vao,NC,2022-01-27 23:49:55,-22.6667,167.4833,79.61,82,68,16.55
169,Nome,US,2022-01-27 23:49:55,64.5011,-165.4064,-2.83,65,0,0.0
170,Sitka,US,2022-01-27 23:49:55,57.0531,-135.33,44.49,65,100,14.97
171,Oranjemund,NA,2022-01-27 23:49:56,-28.55,16.4333,64.69,87,53,16.35
172,Wakema,MM,2022-01-27 23:49:56,16.6,95.1833,68.09,86,21,6.06
173,Talnakh,RU,2022-01-27 23:49:56,69.4865,88.3972,4.21,93,100,16.31
174,Chuy,UY,2022-01-27 23:47:17,-33.6971,-53.4616,65.88,67,62,7.61
175,Saskylakh,RU,2022-01-27 23:49:57,71.9167,114.0833,2.8,87,61,14.61
176,Talcahuano,CL,2022-01-27 23:49:57,-36.7167,-73.1167,62.28,82,100,10.36
