City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
102,Provideniya,RU,2022-01-29 21:11:59,64.3833,-173.3,2.66,86,4,5.01,clear sky
103,Castro,BR,2022-01-29 21:08:09,-24.7911,-50.0119,60.17,99,100,6.11,overcast clouds
104,Pevek,RU,2022-01-29 21:12:00,69.7008,170.3133,-18.06,99,82,3.44,broken clouds
105,Nemuro,JP,2022-01-29 21:12:00,43.3236,145.575,17.29,76,57,17.16,broken clouds
106,Bluff,NZ,2022-01-29 21:12:00,-46.6,168.3333,58.39,88,100,6.85,overcast clouds
107,Strezhevoy,RU,2022-01-29 21:12:01,60.7333,77.5889,-2.02,97,100,4.45,overcast clouds
108,Itagiba,BR,2022-01-29 21:12:01,-14.2836,-39.8428,76.66,88,93,2.42,light rain
109,Lagos,NG,2022-01-29 21:10:54,6.5833,3.75,75.79,58,90,1.77,overcast clouds
110,Isangel,VU,2022-01-29 21:12:02,-19.55,169.2667,80.17,88,100,15.5,heavy intensity rain
111,Kavieng,PG,2022-01-29 21:11:02,-2.5744,150.7967,82.18,75,100,7.36,light rain
112,Umm Kaddadah,SD,2022-01-29 21:12:02,13.6017,26.6876,57.61,18,6,13.82,clear sky
113,Puerto Ayora,EC,2022-01-29 21:12:02,-0.7393,-90.3518,82.36,71,28,9.35,scattered clouds
114,Lebu,CL,2022-01-29 21:12:03,-37.6167,-73.65,64.4,76,2,10.96,clear sky
115,Laguna,US,2022-01-29 21:12:03,38.421,-121.4238,66.04,49,0,1.99,clear sky
116,Ribeira Grande,PT,2022-01-29 21:12:03,38.5167,-28.7,59.4,67,20,5.75,few clouds
117,Iqaluit,CA,2022-01-29 21:12:04,63.7506,-68.5145,-16.46,92,100,3.8,overcast clouds
118,Butaritari,KI,2022-01-29 21:07:39,3.0707,172.7902,82.11,76,25,19.89,light rain
119,Kloulklubed,PW,2022-01-29 21:12:04,7.0419,134.2556,75.7,77,69,8.37,broken clouds
120,Bilma,NE,2022-01-29 21:12:05,18.6853,12.9164,61.03,18,1,10.92,clear sky
121,Norman Wells,CA,2022-01-29 21:09:32,65.282,-126.8329,-18.67,98,36,2.86,scattered clouds
122,Souillac,MU,2022-01-29 21:12:05,-20.5167,57.5167,79.36,74,100,12.35,overcast clouds
123,Ban Nahin,LA,2022-01-29 21:12:05,18.2418,104.2122,68.04,82,52,4.47,broken clouds
124,Longyearbyen,SJ,2022-01-29 21:12:06,78.2186,15.6401,8.44,66,0,14.97,clear sky
125,Avarua,CK,2022-01-29 21:12:06,-21.2078,-159.775,82.45,78,20,9.22,few clouds
126,Puerto Quijarro,BO,2022-01-29 21:11:10,-17.7833,-57.7667,80.08,81,88,2.53,overcast clouds
127,Pervomayskoye,RU,2022-01-29 21:13:06,43.919,46.7102,36.66,87,100,11.18,overcast clouds
128,San Rafael,AR,2022-01-29 21:13:07,-34.6177,-68.3301,90.95,24,0,16.93,clear sky
129,Taltal,CL,2022-01-29 21:13:07,-25.4,-70.4833,68.79,69,8,7.67,clear sky
130,Champerico,GT,2022-01-29 21:13:07,14.3,-91.9167,90.77,63,3,12.73,clear sky
131,Mokolo,CM,2022-01-29 21:13:08,10.7398,13.8019,63.0,26,100,6.33,overcast clouds
